DeviceID 42
"Date and Time	Sequence number	FM Radio	TV	Mobile 800 MHz Downlink	Mobile 800 MHz Uplink	Mobile 900 MHz Uplink	Mobile 900 MHz Downlink	Mobile 1.8 GHz Uplink	Mobile 1.8 GHz Downlink	DECT	Mobile 2.1 GHz Uplink	Mobile 2.1 GHz Downlink	ISM 2.4 GHz	Mobile 2.6 GHz Uplink	Mobile 2.6 GHz Downlink	Mobile 3.5 GHz	WiFi 5 GHz	Total	Overload	GPS Fix	GPS Lat	GPS Lon	GPS Altitude	GPS HDOP	GPS# Satellites	GPS Speed	Marker	Battery charge	USB cable"
"06/30/2017 09:12:41	  75	0.0152	0.0032	0.0293	0.0017	0.0015	0.0113	0.0020	0.0276	0.0068	0.0014	0.0205	0.0032	0.0008	0.0051	0.0013	0.0000	0.0500	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:45	  76	0.0163	0.0032	0.0299	0.0018	0.0015	0.0157	0.0020	0.0331	0.0052	0.0014	0.0332	0.0038	0.0008	0.0100	0.0013	0.0000	0.0614	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:49	  77	0.0138	0.0028	0.0197	0.0018	0.0015	0.0079	0.0020	0.0278	0.0055	0.0014	0.0224	0.0033	0.0008	0.0053	0.0013	0.0000	0.0448	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:53	  78	0.0169	0.0040	0.0258	0.0018	0.0015	0.0088	0.0020	0.0225	0.0043	0.0014	0.0248	0.0034	0.0008	0.0079	0.0013	0.0000	0.0477	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:57	  79	0.0146	0.0036	0.0260	0.0017	0.0015	0.0108	0.0024	0.0278	0.0066	0.0014	0.0293	0.0062	0.0008	0.0088	0.0013	0.0000	0.0532	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:13:01	  80	0.0158	0.0039	0.0161	0.0018	0.0015	0.0146	0.0020	0.0359	0.0062	0.0014	0.0178	0.0040	0.0008	0.0151	0.0013	0.0000	0.0514	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:13:05	  81	0.0158	0.0067	0.0191	0.0018	0.0015	0.0139	0.0020	0.0376	0.0071	0.0014	0.0220	0.0059	0.0008	0.0070	0.0013	0.0000	0.0539	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:13:09	  82	0.0163	0.0054	0.0287	0.0018	0.0015	0.0115	0.0020	0.0471	0.0071	0.0014	0.0251	0.0060	0.0008	0.0123	0.0013	0.0000	0.0660	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:13:13	  83	0.0146	0.0049	0.0290	0.0018	0.0015	0.0143	0.0020	0.0292	0.0079	0.0014	0.0230	0.0056	0.0008	0.0086	0.0013	0.0000	0.0534	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:13:17	  84	0.0158	0.0084	0.0242	0.0020	0.0015	0.0115	0.0020	0.0290	0.0079	0.0014	0.0201	0.0044	0.0008	0.0133	0.0013	0.0000	0.0505	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:13:21	  85	0.0150	0.0078	0.0153	0.0020	0.0017	0.0089	0.0020	0.0219	0.0057	0.0014	0.0183	0.0037	0.0008	0.0037	0.0013	0.0000	0.0386	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:13:25	  86	0.0141	0.0121	0.0172	0.0018	0.0016	0.0076	0.0020	0.0216	0.0065	0.0014	0.0180	0.0045	0.0008	0.0025	0.0013	0.0000	0.0397	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
